  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA0012                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00541   0.00114  -0.0000   0.6870   0.6869
   0.250   0.0269   0.00540   0.00115   0.0003   0.6612   0.7120
   0.500   0.0538   0.00543   0.00116   0.0007   0.6356   0.7373
   0.750   0.0806   0.00545   0.00118   0.0010   0.6089   0.7613
   1.000   0.1075   0.00549   0.00122   0.0014   0.5825   0.7847
   1.500   0.1611   0.00562   0.00131   0.0021   0.5287   0.8283
   1.750   0.1878   0.00570   0.00137   0.0025   0.5019   0.8485
   2.000   0.2144   0.00581   0.00144   0.0030   0.4742   0.8675
   2.250   0.2411   0.00592   0.00151   0.0034   0.4473   0.8849
   2.500   0.2675   0.00607   0.00160   0.0038   0.4193   0.9008
   2.750   0.2938   0.00623   0.00170   0.0043   0.3913   0.9153
   3.000   0.3202   0.00640   0.00180   0.0048   0.3642   0.9284
   3.250   0.3462   0.00659   0.00191   0.0053   0.3367   0.9409
   3.500   0.3730   0.00681   0.00204   0.0057   0.3087   0.9511
   3.750   0.4005   0.00704   0.00217   0.0058   0.2808   0.9599
   4.000   0.4277   0.00728   0.00232   0.0061   0.2538   0.9687
   4.250   0.4588   0.00757   0.00248   0.0053   0.2254   0.9739
   4.500   0.4903   0.00786   0.00265   0.0045   0.1981   0.9789
   4.750   0.5214   0.00815   0.00284   0.0038   0.1733   0.9836
   5.000   0.5571   0.00848   0.00305   0.0019   0.1486   0.9853
   5.250   0.5925   0.00879   0.00326   0.0002   0.1271   0.9873
   5.500   0.6267   0.00912   0.00348  -0.0014   0.1087   0.9897
   5.750   0.6600   0.00943   0.00371  -0.0026   0.0936   0.9924
   6.000   0.6939   0.00974   0.00395  -0.0041   0.0812   0.9944
   6.250   0.7289   0.01005   0.00420  -0.0058   0.0705   0.9959
   6.500   0.7633   0.01038   0.00447  -0.0073   0.0615   0.9976
   6.750   0.7978   0.01066   0.00473  -0.0089   0.0558   0.9992
   7.000   0.8267   0.01095   0.00500  -0.0093   0.0506   1.0000
   7.250   0.8475   0.01124   0.00526  -0.0080   0.0465   1.0000
   7.500   0.8686   0.01150   0.00553  -0.0067   0.0435   1.0000
   7.750   0.8895   0.01179   0.00581  -0.0054   0.0407   1.0000
   8.000   0.9098   0.01214   0.00616  -0.0040   0.0379   1.0000
   8.250   0.9314   0.01239   0.00643  -0.0027   0.0360   1.0000
   8.500   0.9521   0.01275   0.00677  -0.0014   0.0338   1.0000
   8.750   0.9729   0.01312   0.00716  -0.0001   0.0320   1.0000
   9.000   0.9948   0.01342   0.00748   0.0010   0.0307   1.0000
   9.250   1.0160   0.01379   0.00786   0.0021   0.0292   1.0000
   9.500   1.0357   0.01433   0.00841   0.0035   0.0276   1.0000
   9.750   1.0584   0.01463   0.00875   0.0044   0.0267   1.0000
  10.000   1.0808   0.01499   0.00913   0.0053   0.0256   1.0000
